id,sido_nm,sigun_nm,gagu_count
1,부산광역시,전체,34
2,부산광역시,기장군,34
3,대구광역시,전체,75
4,대구광역시,달성군,75
5,인천광역시,전체,85
6,인천광역시,강화군,69
7,인천광역시,옹진군,16
8,울산광역시,전체,81
9,울산광역시,울주군,81
10,세종특별자치시,전체,68
11,세종특별자치시,세종시,68
12,경기도,전체,947
13,경기도,평택시,47
14,경기도,남양주시,64
15,경기도,용인시,36
16,경기도,파주시,54
17,경기도,이천시,59
18,경기도,안성시,92
19,경기도,김포시,44
20,경기도,화성시,102
21,경기도,광주시,44
22,경기도,양주시,20
23,경기도,포천시,65
24,경기도,여주시,79
25,경기도,연천군,47
26,경기도,가평군,38
27,경기도,양평군,156
28,강원도,전체,812
29,강원도,춘천시,64
30,강원도,원주시,43
31,강원도,강릉시,44
32,강원도,삼척시,32
33,강원도,홍천군,105
34,강원도,횡성군,85
35,강원도,영월군,81
36,강원도,평창군,77
37,강원도,정선군,60
38,강원도,철원군,34
39,강원도,화천군,38
40,강원도,양구군,29
41,강원도,인제군,34
42,강원도,고성군,43
43,강원도,양양군,43
44,충청북도,전체,906
45,충청북도,청주시,89
46,충청북도,충주시,68
47,충청북도,제천시,91
48,충청북도,청원군,0
49,충청북도,보은군,93
50,충청북도,옥천군,72
51,충청북도,영동군,135
52,충청북도,진천군,47
53,충청북도,괴산면,140
54,충청북도,음성군,88
55,충청북도,단양군,70
56,충청북도,증평군,13
57,충청남도,전체,1237
58,충청남도,천안시,68
59,충청남도,공주시,95
60,충청남도,보령시,73
61,충청남도,아산시,79
62,충청남도,서산시,92
63,충청남도,논산시,114
64,충청남도,계룡시,8
65,충청남도,당진시,77
66,충청남도,금산군,118
67,충청남도,부여군,99
68,충청남도,서천군,62
69,충청남도,청양군,91
70,충청남도,홍성군,74
71,충청남도,예산군,82
72,충청남도,태안군,105
73,전라북도,전체,1204
74,전라북도,군산시,35
75,전라북도,익산시,63
76,전라북도,정읍시,108
77,전라북도,남원시,118
78,전라북도,김제시,75
79,전라북도,완주군,109
80,전라북도,진안군,96
81,전라북도,무주군,94
82,전라북도,장수군,97
83,전라북도,임실군,55
84,전라북도,순창군,106
85,전라북도,고창군,183
86,전라북도,부안군,65
87,전라남도,전체,1844
88,전라남도,여수시,47
89,전라남도,순천시,91
90,전라남도,나주시,121
91,전라남도,광양시,41
92,전라남도,담양군,100
93,전라남도,곡성군,89
94,전라남도,구례군,71
95,전라남도,고흥군,128
96,전라남도,보성군,80
97,전라남도,화순군,119
98,전라남도,장흥군,98
99,전라남도,강진군,83
100,전라남도,해남군,128
101,전라남도,영암군,73
102,전라남도,무안군,113
103,전라남도,함평군,84
104,전라남도,영광군,55
105,전라남도,장성군,109
106,전라남도,완도군,50
107,전라남도,진도군,43
108,전라남도,신안군,121
109,경상북도,전체,2172
110,경상북도,포항시,68
111,경상북도,경주시,92
112,경상북도,김천시,119
113,경상북도,안동시,111
114,경상북도,구미시,53
115,경상북도,영주시,106
116,경상북도,영천시,132
117,경상북도,상주시,167
118,경상북도,문경시,129
119,경상북도,경산시,77
120,경상북도,군위군,78
121,경상북도,의성군,138
122,경상북도,청송군,108
123,경상북도,영양군,57
124,경상북도,영덕군,62
125,경상북도,청도군,148
126,경상북도,고령군,56
127,경상북도,성주군,112
128,경상북도,칠곡군,53
129,경상북도,예천군,112
130,경상북도,봉화군,148
131,경상북도,울진군,45
132,경상북도,울릉군,1
133,경상남도,전체,1373
134,경상남도,창원시,71
135,경상남도,진주시,68
136,경상남도,통영시,23
137,경상남도,사천시,52
138,경상남도,김해시,44
139,경상남도,밀양시,127
140,경상남도,거제시,58
141,경상남도,양산시,34
142,경상남도,의령군,75
143,경상남도,함안군,51
144,경상남도,창녕군,120
145,경상남도,고성군,60
146,경상남도,남해군,64
147,경상남도,하동군,108
148,경상남도,산청군,97
149,경상남도,함양군,92
150,경상남도,거창군,114
151,경상남도,합천군,115
152,제주특별자치도,전체,306
153,제주특별자치도,제주시,143
154,제주특별자치도,서귀포시,163
